player_id,player_name,player_display_name,position,season,penalties,penalty_yards,position_group,season_type,rushing_yards
00-0019596,T.Brady,Tom Brady,QB,2021,0,0,QB,REG,81
00-0022924,B.Roethlisberger,Ben Roethlisberger,QB,2021,0,0,QB,REG,5
00-0023459,A.Rodgers,Aaron Rodgers,QB,2021,0,0,QB,REG,101
00-0023682,R.Fitzpatrick,Ryan Fitzpatrick,QB,2021,0,0,QB,REG,2
00-0026143,M.Ryan,Matt Ryan,QB,2021,5,54,QB,REG,82
00-0026158,J.Flacco,Joe Flacco,QB,2021,1,10,QB,REG,3
00-0026197,C.Henne,Chad Henne,QB,2021,0,0,QB,REG,0
00-0026300,J.Johnson,Josh Johnson,QB,2021,0,0,QB,REG,28
00-0026498,M.Stafford,Matthew Stafford,QB,2021,2,10,QB,REG,43
00-0026544,C.Daniel,Chase Daniel,QB,2021,0,0,QB,REG,-2
00-0026625,B.Hoyer,Brian Hoyer,QB,2021,0,0,QB,REG,-8
00-0027688,C.McCoy,Colt McCoy,QB,2021,0,0,QB,REG,37
00-0027939,C.Newton,Cam Newton,QB,2021,1,15,QB,REG,230
00-0027948,B.Gabbert,Blaine Gabbert,QB,2021,0,0,QB,REG,-7
00-0027973,A.Dalton,Andy Dalton,QB,2021,0,0,QB,REG,76
00-0028118,T.Taylor,Tyrod Taylor,QB,2021,0,0,QB,REG,151
00-0028986,C.Keenum,Case Keenum,QB,2021,0,0,QB,REG,22
00-0029263,R.Wilson,Russell Wilson,QB,2021,0,0,QB,REG,183
00-0029567,N.Foles,Nick Foles,QB,2021,0,0,QB,REG,8
00-0029604,K.Cousins,Kirk Cousins,QB,2021,3,28,QB,REG,115
00-0029701,R.Tannehill,Ryan Tannehill,QB,2021,1,10,QB,REG,270
00-0030520,M.Glennon,Mike Glennon,QB,2021,1,5,QB,REG,33
00-0030565,G.Smith,Geno Smith,QB,2021,1,5,QB,REG,42
00-0031237,T.Bridgewater,Teddy Bridgewater,QB,2021,3,21,QB,REG,106
00-0031280,D.Carr,Derek Carr,QB,2021,2,31,QB,REG,108
00-0031345,J.Garoppolo,Jimmy Garoppolo,QB,2021,1,10,QB,REG,51
00-0031395,G.Gilbert,Garrett Gilbert,QB,2021,0,0,QB,REG,0
00-0031503,J.Winston,Jameis Winston,QB,2021,1,11,QB,REG,166
00-0031800,T.Heinicke,Taylor Heinicke,QB,2021,1,5,QB,REG,313
00-0032156,T.Siemian,Trevor Siemian,QB,2021,0,0,QB,REG,20
00-0032245,S.Mannion,Sean Mannion,QB,2021,0,0,QB,REG,14
00-0032268,M.Mariota,Marcus Mariota,QB,2021,0,0,QB,REG,87
00-0032434,B.Allen,Brandon Allen,QB,2021,0,0,QB,REG,-1
