player_id,player_name,player_display_name,position,season,season_type,rushing_yards
00-0019596,T.Brady,Tom Brady,QB,2022,REG,-1
00-0023459,A.Rodgers,Aaron Rodgers,QB,2022,REG,94
00-0026143,M.Ryan,Matt Ryan,QB,2022,REG,70
00-0026158,J.Flacco,Joe Flacco,QB,2022,REG,6
00-0026197,C.Henne,Chad Henne,QB,2022,REG,-5
00-0026300,J.Johnson,Josh Johnson,QB,2022,REG,3
00-0026498,M.Stafford,Matthew Stafford,QB,2022,REG,9
00-0026544,C.Daniel,Chase Daniel,QB,2022,REG,4
00-0026625,B.Hoyer,Brian Hoyer,QB,2022,REG,0
00-0027688,C.McCoy,Colt McCoy,QB,2022,REG,36
00-0027948,B.Gabbert,Blaine Gabbert,QB,2022,REG,0
00-0027973,A.Dalton,Andy Dalton,QB,2022,REG,54
00-0028118,T.Taylor,Tyrod Taylor,QB,2022,REG,70
00-0028986,C.Keenum,Case Keenum,QB,2022,REG,0
00-0029263,R.Wilson,Russell Wilson,QB,2022,REG,277
00-0029567,N.Foles,Nick Foles,QB,2022,REG,8
00-0029604,K.Cousins,Kirk Cousins,QB,2022,REG,97
00-0029701,R.Tannehill,Ryan Tannehill,QB,2022,REG,98
00-0030565,G.Smith,Geno Smith,QB,2022,REG,366
00-0031237,T.Bridgewater,Teddy Bridgewater,QB,2022,REG,27
00-0031280,D.Carr,Derek Carr,QB,2022,REG,102
00-0031345,J.Garoppolo,Jimmy Garoppolo,QB,2022,REG,33
00-0031503,J.Winston,Jameis Winston,QB,2022,REG,16
00-0031800,T.Heinicke,Taylor Heinicke,QB,2022,REG,96
00-0032156,T.Siemian,Trevor Siemian,QB,2022,REG,8
00-0032268,M.Mariota,Marcus Mariota,QB,2022,REG,438
00-0032434,B.Allen,Brandon Allen,QB,2022,REG,-1
00-0032436,J.Driskel,Jeff Driskel,QB,2022,REG,75
00-0032792,N.Sudfeld,Nate Sudfeld,QB,2022,REG,-4
00-0032950,C.Wentz,Carson Wentz,QB,2022,REG,86
00-0033077,D.Prescott,Dak Prescott,QB,2022,REG,182
00-0033106,J.Goff,Jared Goff,QB,2022,REG,73
00-0033119,J.Brissett,Jacoby Brissett,QB,2022,REG,243
00-0033275,P.Walker,PJ Walker,QB,2022,REG,39
00-0033319,N.Mullens,Nick Mullens,QB,2022,REG,8
00-0033537,D.Watson,Deshaun Watson,QB,2022,REG,175
00-0033550,D.Webb,Davis Webb,QB,2022,REG,41
00-0033662,C.Rush,Cooper Rush,QB,2022,REG,6
00-0033869,M.Trubisky,Mitchell Trubisky,QB,2022,REG,38
00-0033873,P.Mahomes,Patrick Mahomes,QB,2022,REG,358
00-0033936,C.Beathard,C.J. Beathard,QB,2022,REG,-4
00-0033949,J.Dobbs,Joshua Dobbs,QB,2022,REG,44
00-0033958,N.Peterman,Nathan Peterman,QB,2022,REG,7
00-0034177,T.Boyle,Tim Boyle,QB,2022,REG,-2
00-0034401,M.White,Mike White,QB,2022,REG,9
00-0034577,K.Allen,Kyle Allen,QB,2022,REG,13
00-0034796,L.Jackson,Lamar Jackson,QB,2022,REG,764
00-0034855,B.Mayfield,Baker Mayfield,QB,2022,REG,89
00-0034857,J.Allen,Josh Allen,QB,2022,REG,762
00-0034869,S.Darnold,Sam Darnold,QB,2022,REG,106
00-0034899,J.Wolford,John Wolford,QB,2022,REG,32
00-0034955,B.Rypien,Brett Rypien,QB,2022,REG,7
00-0035040,D.Blough,David Blough,QB,2022,REG,5
00-0035146,T.McSorley,Trace McSorley,QB,2022,REG,61
00-0035228,K.Murray,Kyler Murray,QB,2022,REG,418
00-0035264,J.Stidham,Jarrett Stidham,QB,2022,REG,84
00-0035289,G.Minshew,Gardner Minshew,QB,2022,REG,3
00-0035710,D.Jones,Daniel Jones,QB,2022,REG,708
00-0035752,C.Streveler,Chris Streveler,QB,2022,REG,54
00-0035939,B.Perkins,Bryce Perkins,QB,2022,REG,90
00-0035993,T.Huntley,Tyler Huntley,QB,2022,REG,137
00-0036212,T.Tagovailoa,Tua Tagovailoa,QB,2022,REG,70
00-0036226,J.Eason,Jacob Eason,QB,2022,REG,0
00-0036264,J.Love,Jordan Love,QB,2022,REG,-1
00-0036355,J.Herbert,Justin Herbert,QB,2022,REG,147
00-0036389,J.Hurts,Jalen Hurts,QB,2022,REG,760
00-0036442,J.Burrow,Joe Burrow,QB,2022,REG,257
00-0036879,S.Ehlinger,Sam Ehlinger,QB,2022,REG,87
00-0036898,D.Mills,Davis Mills,QB,2022,REG,108
00-0036928,K.Trask,Kyle Trask,QB,2022,REG,0
00-0036945,J.Fields,Justin Fields,QB,2022,REG,1143
00-0036971,T.Lawrence,Trevor Lawrence,QB,2022,REG,291
00-0036972,M.Jones,Mac Jones,QB,2022,REG,102
00-0037012,T.Lance,Trey Lance,QB,2022,REG,67
00-0037013,Z.Wilson,Zach Wilson,QB,2022,REG,102
00-0037077,S.Howell,Sam Howell,QB,2022,REG,35
00-0037175,A.Brown,Anthony Brown,QB,2022,REG,-5
00-0037327,S.Thompson,Skylar Thompson,QB,2022,REG,21
00-0037834,B.Purdy,Brock Purdy,QB,2022,REG,13
00-0038102,K.Pickett,Kenny Pickett,QB,2022,REG,237
00-0038108,B.Zappe,Bailey Zappe,QB,2022,REG,0
00-0038122,D.Ridder,Desmond Ridder,QB,2022,REG,64
00-0038128,M.Willis,Malik Willis,QB,2022,REG,123
