player_id,player_name,player_display_name,position_x,season,season_type,rushing_yards,gsis_id,display_name,common_first_name,first_name,last_name,short_name,football_name,suffix,esb_id,nfl_id,pfr_id,pff_id,otc_id,espn_id,smart_id,birth_date,position_group,position_y,ngs_position_group,ngs_position,height,weight,headshot,college_name,college_conference,jersey_number,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_position,pff_status,draft_year,draft_round,draft_pick,draft_team
00-0030578,C.Patterson,Cordarrelle Patterson,RB,2024,REG,135,00-0030578,Cordarrelle Patterson,Cordarrelle,Cordarrelle,Patterson,C.Patterson,Cordarrelle,,PAT387075,39975,PattCo00,7810,2210,15807,32005041-5438-7075-4e25-a1072ce2f5ac,1991-03-17,RB,RB,,,74.0,220.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jktdrwmujfuqp94csnav",Tennessee; Hutchinson CC,Southeastern Conference,84,2013,2024,PIT,ACT,CUT,Active,12,HB,A,2013.0,1.0,29.0,MIN
00-0031687,R.Mostert,Raheem Mostert,RB,2024,REG,278,00-0031687,Raheem Mostert,Raheem,Dominique,Mostert,R.Mostert,Raheem,,MOS822492,42718,MostRa00,9783,4146,2576414,32004d4f-5382-2492-b0f0-aec08c3525cf,1992-04-09,RB,RB,RB,RB,70.0,212.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fas5rkweusx2hl7abtzh",Purdue,Big Ten Conference,31,2015,2025,LV,ACT,ACT,Active,11,HB,A,,,,
00-0032104,A.Abdullah,Ameer Abdullah,RB,2024,REG,311,00-0032104,Ameer Abdullah,Ameer,Ameer,Abdullah,A.Abdullah,Ameer,,ABD647726,42397,AbduAm00,9487,3902,2576336,32004142-4464-7726-b649-e09413abd27c,1993-06-13,RB,RB,RB,RB,69.0,203.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jvkgnlj5fn16mnmdyr4i",Nebraska,Big Ten Conference,26,2015,2025,IND,ACT,ACT,Active,11,HB,A,2015.0,2.0,54.0,DET
00-0032764,D.Henry,Derrick Henry,RB,2024,REG,1921,00-0032764,Derrick Henry,Derrick,Derrick,Henry,D.Henry,Derrick,,HEN602843,43334,HenrDe00,10679,4758,3043078,32004845-4e60-2843-9b64-3cd8fac319c3,1994-01-04,RB,RB,RB,RB,75.0,252.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jxtikemnvpkw9r0ex2wv",Alabama,Southeastern Conference,22,2016,2025,BAL,ACT,ACT,Active,10,HB,A,2016.0,2.0,45.0,TEN
00-0033045,E.Elliott,Ezekiel Elliott,RB,2024,REG,226,00-0033045,Ezekiel Elliott,Ezekiel,Ezekiel,Elliott,E.Elliott,Ezekiel,,ELL289284,43293,ElliEz00,10638,4717,3051392,3200454c-4c28-9284-cdcc-74694c8d1749,1995-07-22,RB,RB,RB,RB,72.0,226.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d4yr6htg4dbs0bgcfqnd",Ohio State,Big Ten Conference,,2016,2024,LAC,DEV,DEV,PS; Vet,9,HB,A,2016.0,1.0,4.0,DAL
00-0033280,C.McCaffrey,Christian McCaffrey,RB,2024,REG,202,00-0033280,Christian McCaffrey,Christian,Christian,McCaffrey,C.McCaffrey,Christian,,MCC035988,44820,McCaCh01,11763,5592,3117251,32004d43-4303-5988-790d-0077d6a4692b,1996-06-07,RB,RB,RB,RB,71.0,210.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/resjdwihunsqckohcorj",Stanford,Pacific Twelve Conference,23,2017,2025,SF,ACT,ACT,Active,9,HB,A,2017.0,1.0,8.0,CAR
00-0033293,A.Jones,Aaron Jones,RB,2024,REG,1138,00-0033293,Aaron Jones,Aaron,Aaron,Jones,A.Jones,Aaron,,JON026624,44995,JoneAa00,11937,5768,3042519,32004a4f-4e02-6624-33bd-3ba151b7013d,1994-12-02,RB,RB,RB,RB,69.0,208.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",Texas-El Paso,Conference USA,33,2017,2025,MIN,ACT,ACT,Active,9,HB,A,2017.0,5.0,182.0,GB
00-0033526,S.Perine,Samaje Perine,RB,2024,REG,92,00-0033526,Samaje Perine,Samaje,Samaje,Perine,S.Perine,Samaje,,PER095343,44927,PeriSa00,11869,5700,3116389,32005045-5209-5343-a8b2-b2085b20ed79,1995-09-16,RB,RB,RB,RB,70.0,240.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ur3jv6biq0pefkrgpzty",Oklahoma,Big Twelve Conference,34,2017,2025,CIN,ACT,ACT,Active,9,HB,A,2017.0,4.0,114.0,WAS
00-0033553,J.Conner,James Conner,RB,2024,REG,1094,00-0033553,James Conner,James,James,Conner,J.Conner,James,,CON461999,44917,ConnJa00,11860,5691,3045147,3200434f-4e46-1999-59e9-253cedeec3a5,1995-05-05,RB,RB,RB,RB,73.0,233.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/g5yjordcmt76j0saytzb",Pittsburgh,Atlantic Coast Conference,6,2017,2025,ARI,RES,RES,R/Injured,9,HB,IR,2017.0,3.0,105.0,PIT
00-0033699,A.Ekeler,Austin Ekeler,RB,2024,REG,367,00-0033699,Austin Ekeler,Austin,Austin,Ekeler,A.Ekeler,Austin,,EKE189430,45573,EkelAu00,12164,5865,3068267,3200454b-4518-9430-b8b6-2128b5b3e282,1995-05-17,RB,RB,RB,RB,70.0,200.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sldndpn2zwt4uhkj2zks",Western State,Rocky Mountain Athletic Conference,30,2017,2025,WAS,RES,RES,R/Injured,9,HB,IR,,,,
00-0033854,D.Ogunbowale,Dare Ogunbowale,RB,2024,REG,112,00-0033854,Dare Ogunbowale,Dare,Oluwadare,Ogunbowale,D.Ogunbowale,Dare,,OGU417955,45719,OgunDa00,12329,6299,2983509,32004f47-5541-7955-59ab-15bd05c31d80,1994-05-04,RB,RB,RB,RB,71.0,205.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bsm0k0jkytuiej2riudv",Wisconsin,Big Ten Conference,33,2017,2025,HOU,ACT,ACT,Active,7,HB,A,,,,
